arm_id;arm_data_ini;arm_data_fin;arm_altezza;arm_lunghezza_sbraccio;arm_numero_lampade;arm_lmp_potenza_nominale;tar_cod;tar_descr;tmo_id;tpo_cod;tpo_descr;sgn_id;sgn_data_inserimento;tcs_id;tcs_descr;tci_id;tci_descr
704900;1/1/2022;5/8/2024;800.0;150.0;1.0;57.0;AS;Armatura stradale;722.0;SB;Sbraccio su palo;;;;;;
530720;1/1/2020;13/2/2026;850.0;150.0;1.0;150.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
440950;1/10/2019;31/10/2020;800.0;0.0;1.0;125.0;AS;Armatura stradale;189.0;NN;Non noto;;;;;;
1036428;1/1/2024;13/2/2026;800.0;0.0;1.0;150.0;AS;Armatura stradale;995.0;TP;Testapalo;;;;;;
597914;1/11/2020;30/12/2021;750.0;0.0;1.0;125.0;AS;Armatura stradale;611.0;SB;Sbraccio su palo;;;;;;
880236;1/6/2022;31/12/2023;200.0;0.0;1.0;100.0;PL;Plafoniera;189.0;NN;Non noto;;;;;;
22019;1/1/2018;13/2/2026;0.0;0.0;1.0;70.0;PR;Proiettore;179.0;NN;Non noto;;;;;;
78249;1/1/2018;13/2/2026;0.0;0.0;1.0;54.0;AS;Armatura stradale;550.0;SB;Sbraccio su palo;;;;;;
950371;1/2/2022;13/2/2026;450.0;0.0;1.0;31.5;AU;Arredo urbano;1813.0;TP;Testapalo;;;;;;
903414;1/1/2022;13/2/2026;1000.0;0.0;1.0;100.0;AS;Armatura stradale;189.0;NN;Non noto;;;;;;
634740;1/11/2020;13/2/2026;600.0;0.0;1.0;100.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
1233082;1/1/2025;13/2/2026;850.0;200.0;1.0;35.0;AS;Armatura stradale;2089.0;SB;Sbraccio su palo;;;;;;
1027303;1/1/2023;13/2/2026;0.0;;1.0;33.4;AS;Armatura stradale;1362.0;SB;Sbraccio su palo;;;;;;
1078487;1/1/2024;31/12/2024;500.0;50.0;1.0;70.0;LA;Lanterna artistica ;2065.0;;;;;;;;
307040;2/12/2016;31/12/2019;0.0;0.0;1.0;150.0;NN;Non noto;283.0;NN;Non noto;;;;;;
85555;1/1/2018;13/2/2026;1000.0;100.0;1.0;0.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
1042064;3/1/2024;13/2/2026;700.0;200.0;1.0;40.0;AS;Armatura stradale;774.0;SB;Sbraccio su palo;;;;;;
879182;1/1/2023;13/2/2026;10.0;;1.0;76.0;AS;Armatura stradale;1867.0;TP;Testapalo;;;;;;
662624;1/1/2021;3/4/2022;1000.0;0.0;1.0;100.0;AS;Armatura stradale;391.0;TP;Testapalo;;;;;;
1265161;1/1/2026;13/2/2026;500.0;0.0;1.0;51.0;AS;Armatura stradale;425.0;TP;Testapalo;;;;;;
1290412;1/1/2026;13/2/2026;0.0;0.0;1.0;49.0;LA;Lanterna artistica ;1541.0;NN;Non noto;;;;;;
466683;1/1/2020;19/10/2020;1100.0;400.0;1.0;400.0;AS;Armatura stradale;1363.0;SB;Sbraccio su palo;;;;;;
1160377;1/1/2025;13/2/2026;0.0;0.0;1.0;21.5;AU;Arredo urbano;655.0;TP;Testapalo;;;;;;
530887;1/1/2020;13/2/2026;850.0;150.0;1.0;150.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
1070821;1/7/2012;13/2/2026;;0.0;1.0;100.0;AS;Armatura stradale;189.0;SO;Sospensione;;;;;;
383221;10/7/2019;31/12/2022;800.0;0.0;1.0;100.0;AS;Armatura stradale;23.0;TP;Testapalo;;;;;;
1024735;1/1/2024;13/2/2026;400.0;;1.0;27.0;AU;Arredo urbano;1745.0;TP;Testapalo;;;;;;
1227295;1/1/2025;13/2/2026;600.0;100.0;1.0;20.0;LA;Lanterna artistica ;4394.0;ME;Mensola;;;;;;
243553;9/9/2016;31/12/2019;900.0;0.0;1.0;70.0;AS;Armatura stradale;1098.0;SB;Sbraccio su palo;;;;;;
174821;30/9/2018;13/2/2026;700.0;500.0;4.0;36.0;SS;Segnaletica luminosa stradale;3441.0;SB;Sbraccio su palo;;;;;;
989285;1/7/2023;13/2/2026;1000.0;200.0;1.0;250.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
607144;1/11/2020;30/12/2021;800.0;0.0;1.0;100.0;AU;Arredo urbano;225.0;TP;Testapalo;;;;;;
486647;1/1/2020;13/2/2026;800.0;50.0;1.0;100.0;AS;Armatura stradale;206.0;ME;Mensola;;;;;;
675394;1/1/2021;13/2/2026;0.0;0.0;1.0;70.0;NN;Non noto;189.0;TP;Testapalo;;;;;;
1097511;1/5/2024;13/2/2026;500.0;0.0;1.0;54.8;AS;Armatura stradale;1317.0;TP;Testapalo;;;;;;
1043911;1/1/2019;13/2/2026;720.0;0.0;1.0;37.0;AS;Armatura stradale;1941.0;NN;Non noto;;;;;;
1251934;1/1/2025;13/2/2026;0.0;0.0;1.0;17.0;SP;Segnapasso;613.0;IN;Incassato;;;;;;
539266;1/1/2020;31/12/2024;300.0;0.0;1.0;0.0;AU;Arredo urbano;550.0;TP;Testapalo;;;;;;
420310;1/10/2019;31/10/2020;800.0;0.0;1.0;70.0;AS;Armatura stradale;7.0;SB;Sbraccio su palo;;;;;;
552786;19/12/2019;13/2/2026;800.0;100.0;1.0;28.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
290114;10/11/2016;31/12/2019;800.0;0.0;1.0;100.0;AS;Armatura stradale;1177.0;TP;Testapalo;;;;;;
61949;1/1/2018;31/12/2021;0.0;0.0;1.0;400.0;PR;Proiettore;484.0;TP;Testapalo;;;;;;
1289692;1/1/2026;13/2/2026;800.0;;1.0;29.0;AS;Armatura stradale;1362.0;SB;Sbraccio su palo;;;;;;
706082;1/1/2022;13/2/2026;800.0;0.0;1.0;75.0;PR;Proiettore;672.0;MU;A muro o parete;;;;;;
429322;1/10/2019;31/10/2020;700.0;0.0;1.0;125.0;AS;Armatura stradale;611.0;SB;Sbraccio su palo;;;;;;
1289194;1/1/2026;13/2/2026;800.0;0.0;1.0;36.5;AS;Armatura stradale;1362.0;TP;Testapalo;;;;;;
484945;1/1/2020;13/2/2026;800.0;0.0;1.0;100.0;AS;Armatura stradale;1371.0;TP;Testapalo;;;;;;
351199;16/3/2017;31/12/2019;0.0;0.0;1.0;0.0;NN;Non noto;189.0;NN;Non noto;;;;;;
833411;1/1/2022;31/3/2025;1000.0;300.0;1.0;116.0;AS;Armatura stradale;2435.0;SB;Sbraccio su palo;;;;;;
1026132;1/1/2023;13/2/2026;0.0;0.0;1.0;80.0;NN;Non noto;189.0;NN;Non noto;;;;;;
247999;21/9/2016;31/12/2019;450.0;0.0;1.0;80.0;SF;Sfera;189.0;NN;Non noto;;;;;;
673131;1/1/2021;13/2/2026;0.0;0.0;1.0;15.0;AS;Armatura stradale;2036.0;TP;Testapalo;;;;;;
282273;17/10/2016;30/4/2021;0.0;0.0;1.0;5.0;NN;Non noto;1079.0;NN;Non noto;;;;;;
759411;31/12/2021;31/12/2021;600.0;0.0;1.0;27.0;AS;Armatura stradale;1383.0;SB;Sbraccio su palo;;;;;;
705450;1/1/2022;24/1/2022;650.0;100.0;1.0;70.0;AU;Arredo urbano;603.0;ME;Mensola;;;;;;
54977;1/1/2018;19/5/2020;0.0;0.0;1.0;100.0;AS;Armatura stradale;7.0;SB;Sbraccio su palo;;;;;;
829457;1/1/2022;31/3/2025;;;1.0;37.0;AS;Armatura stradale;2503.0;SB;Sbraccio su palo;;;;;;
1047226;1/1/2019;13/2/2026;900.0;250.0;1.0;37.0;AS;Armatura stradale;1941.0;SB;Sbraccio su palo;;;;;;
809929;1/1/2022;31/12/2025;800.0;;1.0;28.0;AS;Armatura stradale;1379.0;SB;Sbraccio su palo;;;;;;
876628;1/1/2023;13/2/2026;800.0;0.0;1.0;32.0;AS;Armatura stradale;2816.0;TP;Testapalo;;;;;;
285154;17/10/2016;30/4/2021;0.0;0.0;1.0;150.0;NN;Non noto;530.0;NN;Non noto;;;;;;
580844;1/1/2020;31/1/2020;0.0;0.0;1.0;41.0;AS;Armatura stradale;749.0;NN;Non noto;;;;;;
32762;1/1/2018;31/12/2020;600.0;0.0;1.0;100.0;AS;Armatura stradale;345.0;TP;Testapalo;;;;;;
1223939;1/6/2025;13/2/2026;800.0;150.0;1.0;68.0;AS;Armatura stradale;750.0;SB;Sbraccio su palo;;;;;;
977944;1/1/2023;31/12/2023;600.0;;1.0;25.0;AS;Armatura stradale;189.0;NN;Non noto;;;;;;
666135;1/1/2021;3/4/2022;0.0;0.0;1.0;135.0;PL;Plafoniera;364.0;MU;A muro o parete;;;;;;
1258422;1/1/2026;13/2/2026;800.0;0.0;1.0;49.0;AS;Armatura stradale;749.0;NN;Non noto;;;;;;
514980;1/1/2020;30/6/2021;100.0;0.0;1.0;70.0;PL;Plafoniera;599.0;MU;A muro o parete;;;;;;
1017117;1/1/2023;31/12/2024;700.0;;1.0;109.0;PR;Proiettore;1390.0;MU;A muro o parete;;;;;;
556731;1/1/2020;31/12/2021;400.0;0.0;1.0;125.0;SF;Sfera;599.0;TP;Testapalo;;;;;;
662982;1/1/2021;3/4/2022;450.0;0.0;1.0;70.0;AS;Armatura stradale;53.0;TP;Testapalo;;;;;;
1149269;1/4/2025;13/2/2026;900.0;;1.0;67.0;AS;Armatura stradale;1799.0;TP;Testapalo;;;;;;
1273659;1/1/2026;13/2/2026;1000.0;;1.0;29.0;AS;Armatura stradale;1379.0;TP;Testapalo;;;;;;
156435;18/9/2018;31/12/2024;720.0;0.0;1.0;70.0;AS;Armatura stradale;53.0;TP;Testapalo;;;;;;
74842;1/1/2018;31/12/2023;300.0;0.0;1.0;70.0;AU;Arredo urbano;11.0;TP;Testapalo;;;;;;
1180096;1/1/2020;13/2/2026;1120.0;0.0;1.0;120.0;AS;Armatura stradale;4152.0;TP;Testapalo;;;;;;
399318;6/8/2019;13/2/2026;600.0;0.0;1.0;150.0;AU;Arredo urbano;613.0;SO;Sospensione;;;;;;
1014149;1/6/2023;31/12/2024;750.0;150.0;1.0;100.0;AS;Armatura stradale;189.0;SB;Sbraccio su palo;;;;;;
930863;1/1/2023;31/12/2024;600.0;;1.0;100.0;AS;Armatura stradale;2992.0;PI;Pipetta;;;;;;
1006295;1/8/2023;13/2/2026;450.0;;1.0;46.0;SF;Sfera;189.0;TP;Testapalo;;;;;;
255671;28/9/2016;31/12/2023;0.0;0.0;1.0;150.0;NN;Non noto;189.0;NN;Non noto;;;;;;
802977;1/1/2022;31/12/2025;800.0;0.0;1.0;28.0;AS;Armatura stradale;1379.0;SB;Sbraccio su palo;;;;;;
229429;1/8/2016;31/12/2019;0.0;0.0;1.0;70.0;NN;Non noto;189.0;TP;Testapalo;;;;;;
805043;1/1/2022;31/12/2025;400.0;0.0;1.0;100.0;LA;Lanterna artistica ;189.0;ME;Mensola;;;;;;
758596;31/12/2021;31/12/2021;750.0;0.0;1.0;125.0;AS;Armatura stradale;611.0;TP;Testapalo;;;;;;
610448;1/11/2020;30/12/2021;300.0;0.0;1.0;41.0;PR;Proiettore;1866.0;NN;Non noto;;;;;;
911268;1/5/2022;13/2/2026;750.0;;1.0;100.0;AU;Arredo urbano;225.0;SB;Sbraccio su palo;;;;;;
