arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
1295143,26/1/2026,13/2/2026,200.0,,,70.0,SF,Sfera,2065.0,TP,Testapalo,,,,,,,41.84736000184805,12.457338844595707
1055784,1/5/2023,31/3/2025,,,1.0,42.0,,,1409.0,,,,,,,,,41.788921838269935,12.325508064380017
1012603,1/6/2023,31/12/2024,750.0,200.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.86864955979352,12.472732522383255
940084,1/1/2023,13/2/2026,0.0,,1.0,21.0,LA,Lanterna artistica ,3066.0,SB,Sbraccio su palo,,,,,,,41.91231864085952,12.46055619125323
600964,1/11/2020,30/12/2021,900.0,0.0,1.0,150.0,AS,Armatura stradale,8.0,TP,Testapalo,,,,,,,41.92786827301111,12.626894297950823
183177,30/9/2018,6/4/2022,750.0,100.0,1.0,52.0,AS,Armatura stradale,1302.0,SB,Sbraccio su palo,,,,,,,41.925591194424754,12.332787229211041
658489,1/1/2021,3/4/2022,600.0,0.0,1.0,70.0,AS,Armatura stradale,40.0,TP,Testapalo,,,,,,,41.93395860908034,12.471805775507605
474463,1/1/2020,13/2/2026,550.0,50.0,1.0,50.0,AU,Arredo urbano,613.0,SB,Sbraccio su palo,,,,,,,42.02761044965021,12.45716119834244
630519,1/11/2020,13/2/2026,1200.0,80.0,1.0,70.0,AS,Armatura stradale,262.0,SB,Sbraccio su palo,,,,,,,41.986670489252624,12.483293841390807
854673,20/9/2022,1/6/2025,350.0,,,125.0,PR,Proiettore,189.0,TP,Testapalo,,,,,,,41.93745164898032,12.348470079939993
990263,1/7/2023,13/2/2026,500.0,,1.0,250.0,PR,Proiettore,189.0,TP,Testapalo,,,,,,,41.87126948661102,12.622162020359378
700064,1/1/2022,16/5/2022,600.0,0.0,1.0,100.0,AS,Armatura stradale,2102.0,TP,Testapalo,,,,,,,41.913001870091726,12.616787748376503
280416,17/10/2016,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,1232.0,SO,Sospensione,,,,,,,41.82776512640933,12.395104549342163
970965,10/7/2023,31/5/2025,,,1.0,75.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.904958207596295,12.671022416844945
183146,30/9/2018,13/2/2026,400.0,100.0,1.0,50.0,AS,Armatura stradale,7.0,SB,Sbraccio su palo,,,,,,,41.9731269901196,12.567520007432881
388500,10/7/2019,31/12/2022,800.0,0.0,1.0,100.0,AS,Armatura stradale,104.0,TP,Testapalo,,,,,,,41.793562750930555,12.39472172712855
302919,2/12/2016,31/12/2021,0.0,0.0,1.0,70.0,AU,Arredo urbano,927.0,IN,Incassato,,,,,,,41.863832806147975,12.59741079806006
44973,1/1/2018,31/12/2020,600.0,0.0,1.0,100.0,AS,Armatura stradale,53.0,TP,Testapalo,,,,,,,41.9278841884596,12.326697217219406
426616,1/10/2019,31/10/2020,900.0,0.0,1.0,150.0,PR,Proiettore,66.0,SB,Sbraccio su palo,,,,,,,41.88340002806598,12.517275381483058
765273,31/12/2021,31/12/2021,750.0,0.0,1.0,125.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.94495059634628,12.639714355361896
117309,1/1/2018,31/10/2020,1200.0,0.0,1.0,35.0,AS,Armatura stradale,754.0,TP,Testapalo,,,,,,,41.953970657204216,12.332303622231253
1148848,1/1/2025,13/2/2026,0.0,,1.0,10.0,SP,Segnapasso,3953.0,IN,Incassato,,,,,,,41.937202287797035,12.459783036835145
36406,1/1/2018,31/12/2020,600.0,0.0,1.0,150.0,AU,Arredo urbano,403.0,TP,Testapalo,,,,,,,41.95360909018173,12.396305941615003
341671,28/2/2017,31/12/2019,0.0,0.0,1.0,100.0,AS,Armatura stradale,1148.0,TP,Testapalo,,,,,,,41.84809819088628,12.525112597667633
431862,1/10/2019,31/10/2020,800.0,0.0,1.0,100.0,AS,Armatura stradale,66.0,SB,Sbraccio su palo,,,,,,,41.84662712554792,12.45856687677152
902178,1/1/2022,13/2/2026,900.0,150.0,1.0,250.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.986429836991626,12.426333160986937
144819,18/9/2018,31/12/2024,0.0,0.0,1.0,61.0,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.933885096701864,12.63368074269182
365364,23/1/2018,31/12/2021,0.0,50.0,1.0,100.0,AU,Arredo urbano,599.0,SB,Sbraccio su palo,,,,,,,41.87230518103976,12.46169851958775
1039434,1/3/2024,13/2/2026,,,1.0,250.0,PR,Proiettore,189.0,SB,Sbraccio su palo,,,,,,,41.92910945251771,12.640704480806434
773982,31/12/2021,31/12/2021,1400.0,0.0,1.0,400.0,PR,Proiettore,189.0,SB,Sbraccio su palo,,,,,,,41.8674065550294,12.371164802216745
1080807,1/1/2019,13/2/2026,700.0,150.0,1.0,34.0,AS,Armatura stradale,772.0,SB,Sbraccio su palo,,,,,,,41.85473664158832,12.490270365319724
1204996,1/1/2023,13/2/2026,450.0,50.0,1.0,43.0,LA,Lanterna artistica ,1650.0,SB,Sbraccio su palo,,,,,,,41.94797813477948,12.387846232593079
838736,1/1/2022,31/3/2025,,,1.0,40.0,PL,Plafoniera,937.0,MU,A muro o parete,,,,,,,41.9923335747764,12.494018534477032
816703,1/1/2022,31/12/2024,0.0,0.0,1.0,150.0,AU,Arredo urbano,2131.0,NN,Non noto,,,,,,,41.854555351118925,12.688084408254252
760247,31/12/2021,31/12/2021,700.0,0.0,1.0,125.0,AU,Arredo urbano,611.0,SB,Sbraccio su palo,,,,,,,41.936425941851816,12.529099618410395
915001,1/1/2022,13/2/2026,,,1.0,28.0,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.91509854319869,12.509608785319452
1199619,1/4/2025,13/2/2026,900.0,200.0,1.0,49.0,AS,Armatura stradale,2417.0,SB,Sbraccio su palo,,,,,,,41.927788830412375,12.443063757188595
463548,1/1/2020,13/2/2026,500.0,0.0,1.0,100.0,AS,Armatura stradale,1612.0,SO,Sospensione,,,,,,,41.82239776163449,12.39731671067626
1057921,1/1/2024,13/2/2026,900.0,0.0,1.0,30.0,AS,Armatura stradale,3707.0,TP,Testapalo,,,,,,,41.956558039164925,12.358990740946505
347187,28/2/2017,29/2/2024,0.0,0.0,1.0,0.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.84318922723273,12.34804722975317
1190832,1/4/2025,13/2/2026,900.0,200.0,1.0,71.0,AS,Armatura stradale,2449.0,SB,Sbraccio su palo,,,,,,,41.94016976620029,12.368091380027876
763326,31/12/2021,31/12/2021,750.0,0.0,1.0,70.0,AS,Armatura stradale,7.0,SB,Sbraccio su palo,,,,,,,41.70599613165043,12.60932070164148
1266233,1/1/2026,13/2/2026,750.0,0.0,1.0,35.0,AS,Armatura stradale,1379.0,SB,Sbraccio su palo,,,,,,,41.917739901023396,12.683457677686475
398764,6/8/2019,13/2/2026,350.0,0.0,2.0,18.0,PL,Plafoniera,612.0,SF,Soffitto,,,,,,,41.847436278850886,12.490866542968545
455001,1/1/2020,13/2/2026,400.0,0.0,1.0,70.0,SF,Sfera,599.0,TP,Testapalo,,,,,,,41.94037010888414,12.644867885881085
51141,1/1/2018,31/8/2023,300.0,0.0,1.0,70.0,SF,Sfera,189.0,TP,Testapalo,,,,,,,41.883240293877584,12.35954639126475
177708,30/9/2018,13/2/2026,900.0,100.0,1.0,100.0,AS,Armatura stradale,594.0,SB,Sbraccio su palo,,,,,,,41.88293894055518,12.660679294213113
1096740,1/9/2023,13/2/2026,1000.0,0.0,1.0,31.0,AS,Armatura stradale,358.0,TP,Testapalo,,,,,,,41.83164195495204,12.635099271392287
