arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine,pred_giorni_al_guasto
4063,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,SF,Sfera,38.0,SB,Sbraccio su palo,,,,,,,41.81646570388726,12.6255293225835,254074.33
4064,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,SF,Sfera,38.0,SB,Sbraccio su palo,,,,,,,41.74033386652209,12.339053515051155,254074.33
4065,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,SF,Sfera,38.0,SB,Sbraccio su palo,,,,,,,41.75522522754814,12.30322057970174,254074.33
4066,1/1/2018,13/2/2026,0.0,0.0,1.0,150.0,PR,Proiettore,189.0,ME,Mensola,,,,,,,41.89887891327478,12.585248749461954,1269.0559
4067,1/1/2018,13/2/2026,0.0,0.0,1.0,150.0,PR,Proiettore,189.0,SB,Sbraccio su palo,,,,,,,41.73175116153877,12.27025424284552,1269.0559
4068,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,42.01688026934891,12.37618650996191,756.1322
4069,1/1/2018,13/2/2026,0.0,0.0,1.0,250.0,AS,Armatura stradale,152.0,TP,Testapalo,,,,,,,41.78820991006894,12.331570331573896,7039.3228
4070,1/1/2018,13/2/2026,0.0,0.0,1.0,250.0,AS,Armatura stradale,152.0,TP,Testapalo,,,,,,,42.041373837279856,12.466011108403316,7039.3228
4071,1/1/2018,13/2/2026,0.0,0.0,1.0,150.0,AS,Armatura stradale,189.0,TP,Testapalo,42.0,3/12/2014 11:42:00,23.0,impianto spento,50.0,riarmato contatore,41.81168238250776,12.486193507106522,1269.0559
4072,1/1/2018,13/2/2026,0.0,0.0,1.0,0.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.91362318750488,12.365102103739227,993.2509
4073,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.878424043666165,12.53444590873118,756.1322
4074,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.85654409620927,12.556962304492895,756.1322
4075,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.81298731892696,12.46682622198579,756.1322
4076,1/1/2018,13/2/2026,700.0,0.0,1.0,29.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.88484304248547,12.511763527876312,756.1322
4077,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.95386442781874,12.583420791769257,470.826
4079,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,42.09226004484661,12.358624266947045,470.826
4080,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.87681642853386,12.344006171582429,470.826
4082,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.974637617826446,12.43901324185479,470.826
4084,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.72891526367307,12.336275384548472,470.826
4085,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.83611231585152,12.575009652272128,470.826
4087,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.91025320163796,12.439669877749896,470.826
4089,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.90251697132262,12.432949713983746,470.826
4090,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,41.77739463804665,12.344341903276304,470.826
4093,1/1/2018,13/2/2026,800.0,0.0,1.0,34.0,AS,Armatura stradale,772.0,TP,Testapalo,,,,,,,42.00150669573962,12.492490324552088,470.826
4094,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.99569399778107,12.491205807125269,649.36536
